Wavelength,Intensity
684.5042241487364,617
684.514626776526,618
684.52502913309581,614
684.53543121842142,615
684.54583303247762,615
684.5562345752403,615
684.566635846684,613.5
684.57703684678438,613.5
684.58743757551656,612.5
684.59783803285563,613
684.60823821877716,614.5
684.618638133256,616
684.62903777626775,614.5
684.63943714778736,617
684.64983624779018,615.5
684.66023507625141,615.5
684.67063363314628,612.5
684.68103191845012,614.5
684.69142993213836,612
684.70182767418589,614.5
684.712225144568,616.5
684.72262234326047,616.5
684.73301927023783,618.5
684.74341592547569,616.5
684.75381230894914,614
684.76420842063374,612
684.77460426050459,611
684.78499982853691,611
684.795395124706,612
684.80579014898717,613
684.81618490135554,614
684.82657938178647,615.5
684.8369735902553,615
684.84736752673723,614
684.85776119120749,615
684.86815458364163,615
684.87854770401464,615
684.88894055230173,613.5
684.89933312847836,613
684.90972543252,615.5
684.92011746440153,615.5
684.93050922409827,614
684.940900711586,614
684.95129192683953,616.5
684.96168286983425,616.5
684.97207354054547,616
684.98246393894851,616
684.99285406501861,615.5
685.00324391873119,612.5
685.01363350006147,612.5
685.0240228089848,614
685.03441184547637,613.5
685.04480060951164,613
685.05518910106571,613
685.065577320114,612.5
685.075965266632,614
685.08635294059468,613.5
685.09674034197758,615
685.107127470756,614
685.117514326905,614
685.12790091040029,613
685.138287221217,614.5
685.14867325933039,615
685.15905902471582,615.5
685.16944451734889,614
685.17982973720427,613.5
685.190214684258,612
685.20059935848508,612
685.21098375986071,613
685.22136788836053,613
685.23175174395965,613
685.24213532663327,613
685.25251863635719,614
685.26290167310651,614
685.27328443685633,613
685.28366692758243,613
685.29404914525981,614.5
685.3044310898639,611.5
685.31481276137026,612.5
685.32519415975389,610.5
685.33557528499034,612.5
685.34595613705494,611
685.35633671592313,614.5
685.36671702157014,615
685.3770970539714,615
685.387476813102,616
685.39785629893765,615
685.40823551145365,612
685.41861445062534,612.5
685.42899311642782,615
685.43937150883687,615
685.4497496278276,616
685.46012747337545,614.5
685.470505045456,612
685.48088234404429,610.5
685.4912593691156,613
685.50163612064568,614.5
685.51201259860989,614.5
685.52238880298341,614
685.5327647337416,614
685.54314039086,614.5
685.55351577431384,616.5
685.56389088407866,614.5
685.57426572012969,615.5
685.58464028244259,615.5
685.59501457099236,614.5
685.60538858575467,613
685.61576232670484,614.5
685.62613579381843,614
685.63650898707056,616
685.64688190643676,613.5
685.65725455189238,614
685.66762692341285,613.5
685.67799902097363,614.5
685.68837084455026,615
685.69874239411774,614.5
685.70911366965174,615
685.71948467112759,613
685.729855398521,611
685.74022585180694,610.5
685.75059603096111,613
685.76096593595878,613.5
685.77133556677541,615.5
685.78170492338643,614.5
685.7920740057674,615
685.80244281389366,612
685.81281134774053,613.5
685.82317960728346,614.5
685.83354759249789,616.5
685.84391530335927,616
685.85428273984314,614
