Wavelength,Intensity
684.5042241487364,620.5
684.514626776526,622.5
684.52502913309581,622.5
684.53543121842142,622.5
684.54583303247762,625
684.5562345752403,627
684.566635846684,624.5
684.57703684678438,625.5
684.58743757551656,621
684.59783803285563,621.5
684.60823821877716,621.5
684.618638133256,625.5
684.62903777626775,623.5
684.63943714778736,625.5
684.64983624779018,626
684.66023507625141,627.5
684.67063363314628,627.5
684.68103191845012,627
684.69142993213836,624
684.70182767418589,622.5
684.712225144568,624
684.72262234326047,625
684.73301927023783,623.5
684.74341592547569,623
684.75381230894914,622
684.76420842063374,623
684.77460426050459,621.5
684.78499982853691,623.5
684.795395124706,622
684.80579014898717,625
684.81618490135554,624
684.82657938178647,624
684.8369735902553,622
684.84736752673723,622
684.85776119120749,628
684.86815458364163,628
684.87854770401464,623
684.88894055230173,622.5
684.89933312847836,623
684.90972543252,625.5
684.92011746440153,627.5
684.93050922409827,626.5
684.940900711586,625
684.95129192683953,626.5
684.96168286983425,627
684.97207354054547,622
684.98246393894851,622
684.99285406501861,624.5
685.00324391873119,625
685.01363350006147,621.5
685.0240228089848,623
685.03441184547637,623
685.04480060951164,626
685.05518910106571,626
685.065577320114,626
685.075965266632,626.5
685.08635294059468,626.5
685.09674034197758,627
685.107127470756,626.5
685.117514326905,624.5
685.12790091040029,624.5
685.138287221217,626
685.14867325933039,626
685.15905902471582,624.5
685.16944451734889,619.5
685.17982973720427,622.5
685.190214684258,625.5
685.20059935848508,625.5
685.21098375986071,626
685.22136788836053,624
685.23175174395965,626
685.24213532663327,624.5
685.25251863635719,625
685.26290167310651,625
685.27328443685633,628
685.28366692758243,628.5
685.29404914525981,626.5
685.3044310898639,623
685.31481276137026,623
685.32519415975389,622
685.33557528499034,624.5
685.34595613705494,623.5
685.35633671592313,624
685.36671702157014,623
685.3770970539714,623
685.387476813102,625
685.39785629893765,626
685.40823551145365,625
685.41861445062534,623
685.42899311642782,621.5
685.43937150883687,622
685.4497496278276,623
685.46012747337545,624.5
685.470505045456,624.5
685.48088234404429,624
685.4912593691156,624
685.50163612064568,624
685.51201259860989,624.5
685.52238880298341,626
685.5327647337416,625.5
685.54314039086,625.5
685.55351577431384,624
685.56389088407866,623.5
685.57426572012969,624.5
685.58464028244259,625.5
685.59501457099236,623.5
685.60538858575467,626
685.61576232670484,623.5
685.62613579381843,622
685.63650898707056,623.5
685.64688190643676,626
685.65725455189238,627
685.66762692341285,625.5
685.67799902097363,623
685.68837084455026,623.5
685.69874239411774,626.5
685.70911366965174,626.5
685.71948467112759,623.5
685.729855398521,623.5
685.74022585180694,624.5
685.75059603096111,624.5
685.76096593595878,625
685.77133556677541,625
685.78170492338643,625
685.7920740057674,625
685.80244281389366,624.5
685.81281134774053,625.5
685.82317960728346,625.5
685.83354759249789,627
685.84391530335927,629
685.85428273984314,627
685.864649901925,624
685.87501678957983,624
685.88538340278365,624.5
685.89574974151139,625.5
685.90611580573875,628.5
685.91648159544127,628.5
685.92684711059417,627.5
685.937212351173,628
685.94757731715322,630
685.95794200851014,630
685.96830642521957,627
685.97867056725647,623.5
685.98903443459665,624
685.99939802721542,624
686.00976134508846,624
686.02012438819088,623.5
686.03048715649845,623
686.04084964998628,625
686.05121186863016,624.5
686.06157381240553,624.5
686.07193548128771,626
686.08229687525227,623
686.09265799427453,629
686.10301883833006,628
686.1133794073944,630
686.123739701443,630.5
686.13409972045133,630.5
686.1444594643948,627
686.154818933249,625
686.16517812698942,624
686.17553704559145,627.5
686.18589568903053,628.5
686.19625405728209,629.5
686.20661215032192,626
686.21696996812534,627.5
686.22732751066781,624.5
686.23768477792487,623.5
686.2480417698722,623.5
686.25839848648491,623.5
686.26875492773854,624
686.279111093609,623.5
686.28946698407162,623.5
686.2998225991015,625
686.31017793867477,629.5
686.32053300276641,628
686.33088779135221,629.5
686.34124230440773,629
686.35159654190829,630
686.36195050382946,627.5
686.37230419014691,625.5
686.382657600836,625.5
686.39301073587228,628.5
686.40336359523133,629
686.41371617888842,624.5
686.42406848681946,624.5
686.43442051899979,628
686.444772275405,630
686.45512375601038,627.5
686.46547496079177,626
686.47582588972443,626.5
686.48617654278416,627.5
686.49652691994629,627.5
686.5068770211866,626.5
686.51722684648041,628
686.52757639580341,627.5
686.53792566913091,627.5
686.5482746664386,628
686.558623387702,629
686.56897183289686,630.5
686.57932000199844,628
686.58966789498243,627.5
686.60001551182449,622
686.61036285249986,622
686.62070991698431,628
686.63105670525329,629.5
686.64140321728269,629.5
686.65174945304773,628.5
686.662095412524,627
686.67244109568719,626
686.68278650251284,625.5
686.69313163297636,622.5
686.70347648705354,623.5
686.71382106471981,624.5
686.72416536595085,629
686.734509390722,629
686.74485313900914,626.5
686.75519661078772,626.5
686.76553980603353,630.5
686.77588272472167,630.5
686.786225366828,628
686.79656773232819,627
686.80690982119768,624.5
686.81725163341218,624.5
686.82759316894726,624
686.83793442777824,626
686.84827540988124,624.5
686.85861611523137,626
686.86895654380442,629
686.87929669557593,627.5
686.8896365705217,627.5
686.89997616861729,628.5
686.910315489838,630.5
686.92065453415967,629
686.93099330155792,628
686.94133179200821,626.5
686.95167000548622,628.5
686.96200794196773,628.5
686.97234560142817,628
686.98268298384323,626.5
686.99302008918846,628
687.00335691743965,629
687.01369346857211,631
687.02402974256177,631
687.03436573938393,626
687.0447014590145,625.5
687.05503690142916,625.5
687.06537206660323,623
