Wavelength,Intensity
684.5042241487364,735
684.514626776526,735
684.52502913309581,735
684.53543121842142,728
684.54583303247762,725
684.5562345752403,725
684.566635846684,722
684.57703684678438,721
684.58743757551656,711
684.59783803285563,711
684.60823821877716,716
684.618638133256,719
684.62903777626775,719
684.63943714778736,723
684.64983624779018,723
684.66023507625141,723
684.67063363314628,728
684.68103191845012,728
684.69142993213836,728
684.70182767418589,729
684.712225144568,729
684.72262234326047,726
684.73301927023783,726
684.74341592547569,734
684.75381230894914,734
684.76420842063374,725
684.77460426050459,721
684.78499982853691,725
684.795395124706,735
684.80579014898717,735
684.81618490135554,744
684.82657938178647,736
684.8369735902553,745
684.84736752673723,736
684.85776119120749,735
684.86815458364163,732
684.87854770401464,735
684.88894055230173,732
684.89933312847836,744
684.90972543252,747
684.92011746440153,747
684.93050922409827,735
684.940900711586,735
684.95129192683953,738
684.96168286983425,738
684.97207354054547,739
684.98246393894851,739
684.99285406501861,739
685.00324391873119,730
685.01363350006147,730
685.0240228089848,730
685.03441184547637,726
685.04480060951164,726
685.05518910106571,728
685.065577320114,728
685.075965266632,728
685.08635294059468,725
685.09674034197758,735
685.107127470756,720
685.117514326905,722
685.12790091040029,722
685.138287221217,730
685.14867325933039,730
685.15905902471582,723
685.16944451734889,723
685.17982973720427,723
685.190214684258,724
685.20059935848508,711
685.21098375986071,726
685.22136788836053,711
685.23175174395965,729
685.24213532663327,723
685.25251863635719,723
685.26290167310651,716
685.27328443685633,716
685.28366692758243,716
685.29404914525981,702
685.3044310898639,702
685.31481276137026,716
685.32519415975389,716
685.33557528499034,725
685.34595613705494,713
685.35633671592313,716
685.36671702157014,716
685.3770970539714,716
685.387476813102,716
685.39785629893765,706
685.40823551145365,710
685.41861445062534,696
685.42899311642782,710
685.43937150883687,715
685.4497496278276,715
685.46012747337545,716
685.470505045456,712
685.48088234404429,712
685.4912593691156,708
685.50163612064568,708
685.51201259860989,724
685.52238880298341,724
685.5327647337416,719
685.54314039086,719
685.55351577431384,719
685.56389088407866,718
685.57426572012969,718
685.58464028244259,722
685.59501457099236,724
685.60538858575467,722
685.61576232670484,713
685.62613579381843,713
685.63650898707056,721
685.64688190643676,721
685.65725455189238,721
685.66762692341285,718
685.67799902097363,718
685.68837084455026,715
685.69874239411774,715
685.70911366965174,711
685.71948467112759,715
685.729855398521,715
685.74022585180694,715
685.75059603096111,704
685.76096593595878,704
685.77133556677541,714
685.78170492338643,714
685.7920740057674,714
685.80244281389366,713
685.81281134774053,715
685.82317960728346,713
685.83354759249789,717
685.84391530335927,717
685.85428273984314,717
685.864649901925,714
685.87501678957983,706
685.88538340278365,706
685.89574974151139,711
685.90611580573875,712
685.91648159544127,712
685.92684711059417,712
685.937212351173,709
685.94757731715322,708
685.95794200851014,708
685.96830642521957,708
685.97867056725647,714
685.98903443459665,704
685.99939802721542,706
686.00976134508846,704
686.02012438819088,706
686.03048715649845,716
686.04084964998628,716
686.05121186863016,729
686.06157381240553,721
686.07193548128771,730
686.08229687525227,729
686.09265799427453,730
686.10301883833006,729
686.1133794073944,724
686.123739701443,724
686.13409972045133,723
686.1444594643948,729
686.154818933249,723
686.16517812698942,725
686.17553704559145,723
686.18589568903053,723
686.19625405728209,722
686.20661215032192,722
686.21696996812534,731
686.22732751066781,731
686.23768477792487,712
686.2480417698722,712
686.25839848648491,724
686.26875492773854,724
686.279111093609,724
686.28946698407162,724
686.2998225991015,724
686.31017793867477,728
686.32053300276641,728
686.33088779135221,728
686.34124230440773,728
686.35159654190829,718
686.36195050382946,728
686.37230419014691,718
686.382657600836,728
686.39301073587228,739
686.40336359523133,739
686.41371617888842,738
686.42406848681946,721
686.43442051899979,732
686.444772275405,732
686.45512375601038,736
686.46547496079177,736
686.47582588972443,723
686.48617654278416,723
686.49652691994629,726
686.5068770211866,727
686.51722684648041,727
686.52757639580341,740
686.53792566913091,740
686.5482746664386,736
686.558623387702,736
686.56897183289686,726
686.57932000199844,728
686.58966789498243,726
686.60001551182449,728
686.61036285249986,719
686.62070991698431,722
686.63105670525329,722
686.64140321728269,727
686.65174945304773,732
686.662095412524,727
686.67244109568719,725
686.68278650251284,725
686.69313163297636,733
686.70347648705354,744
686.71382106471981,744
686.72416536595085,744
686.734509390722,738
686.74485313900914,738
686.75519661078772,738
686.76553980603353,737
686.77588272472167,739
686.786225366828,736
686.79656773232819,725
686.80690982119768,723
686.81725163341218,719
686.82759316894726,709
686.83793442777824,707
686.84827540988124,707
686.85861611523137,707
686.86895654380442,713
686.87929669557593,716
686.8896365705217,720
686.89997616861729,721
686.910315489838,729
686.92065453415967,729
686.93099330155792,729
686.94133179200821,711
686.95167000548622,713
686.96200794196773,711
686.97234560142817,711
686.98268298384323,711
686.99302008918846,710
687.00335691743965,710
687.01369346857211,710
687.02402974256177,713
687.03436573938393,713
687.0447014590145,713
687.05503690142916,714
687.06537206660323,725
687.07570695451261,729
687.08604156513275,729
687.09637589843942,718
687.1067099544083,716
687.11704373301473,718
687.1273772342347,716
687.13771045804367,711
687.14804340441719,711
687.15837607333117,712
687.16870846476115,719
687.17904057868259,719
687.18937241507138,711
687.199703973903,708
687.21003525515334,711
687.22036625879775,715
687.230696984812,718
687.24102743317189,719
687.251357603853,727
687.26168749683086,731
687.27201711208136,739
687.2823464495799,739
687.2926755093024,739
687.30300429122428,733
687.31333279532146,720
687.32366102156948,720
687.333988969944,722
687.34431664042086,722
687.35464403297544,722
687.36497114758367,722
687.37529798422122,718
687.38562454286341,729
687.39595082348637,722
687.40627682606566,727
687.416602550577,722
687.42692799699591,708
687.4372531652981,708
687.4475780554593,721
687.45790266745541,721
687.468227001262,720
687.4785510568546,717
687.488874834209,718
687.49919833330091,717
687.5095215541063,707
687.5198444966004,707
687.53016716075922,711
687.54048954655843,722
687.5508116539736,722
687.56113348298072,722
687.57145503355514,719
687.58177630567286,719
687.59209729930944,719
687.60241801444079,723
687.61273845104245,728
687.62305860909009,723
687.63337848855963,726
687.64369808942649,721
687.65401741166681,721
687.66433645525592,714
687.67465522016994,709
687.68497370638443,709
687.69529191387483,718
687.70560984261726,718
687.71592749258741,714
687.72624486376083,714
687.73656195611352,725
687.74687876962093,725
687.757195304259,723
687.7675115600033,717
687.77782753682982,723
687.7881432347142,717
687.79845865363222,726
687.80877379355945,720
687.81908865447178,720
687.82940323634512,720
687.839717539155,718
687.85003156287723,711
687.86034530748736,711
687.87065877296163,714
687.8809719592756,722
687.891284866405,722
687.90159749432553,722
687.91190984301306,719
687.92222191244332,715
687.932533702592,715
687.94284521343491,715
687.953156444948,720
687.96346739710691,720
687.97377806988743,711
687.98408846326538,711
687.99439857721632,710
688.00470841171636,721
688.01501796674108,723
688.02532724226637,723
688.035636238268,723
688.04594495472179,728
688.05625339160349,729
688.0665615488889,729
688.07686942655369,731
688.08717702457375,734
688.0974843429251,734
688.10779138158318,733
688.11809814052413,721
688.12840461972337,733
688.138710819157,721
688.14901673880081,735
688.15932237863058,735
688.169627738622,736
688.17993281875113,736
688.19023761899348,731
688.20054213932508,728
688.21084637972172,724
688.22115034015917,726
688.23145402061334,726
688.24175742105979,731
688.25206054147475,731
688.26236338183367,731
688.27266594211267,731
688.28296822228754,745
688.293270222334,745
688.30357194222779,738
688.313873381945,738
688.32417454146116,737
688.33447542075248,738
688.34477601979461,740
688.35507633856332,740
688.36537637703464,740
688.37567613518422,729
688.38597561298786,740
688.3962748104218,722
688.40657372746159,732
688.416872364083,728
688.42717072026221,732
688.43746879597472,728
688.44776659119668,739
688.45806410590376,732
688.46836134007208,732
688.47865829367709,732
688.48895496669479,735
688.49925135910132,735
688.50954747087246,745
688.51984330198377,736
688.53013885241148,751
688.54043412213127,738
688.550729111119,738
688.56102381935057,736
688.571318246802,736
688.58161239344918,736
688.59190625926772,732
688.60219984423384,732
688.61249314832321,742
688.62278617151185,742
688.63307891377542,752
688.64337137509,741
688.65366355543142,737
688.66395545477576,736
688.67424707309851,729
688.68453841037592,736
688.69482946658388,737
688.70512024169818,741
688.71541073569472,741
688.72570094854939,741
688.73599088023821,735
688.746280530737,747
688.75656990002153,742
688.766858988068,742
688.77714779485223,742
688.78743632035,746
688.79772456453748,746
688.80801252739025,741
688.81830020888458,741
688.82858760899614,745
688.838874727701,748
688.849161564975,745
688.85944812079424,748
688.86973439513429,748
688.8800203879714,748
688.89030609928147,743
688.9005915290403,743
688.910876677224,753
688.92116154380835,753
688.93144612876927,754
688.94173043208275,754
688.95201445372481,754
688.96229819367147,750
688.97258165189851,746
688.98286482838193,746
688.99314772309765,747
689.00343033602178,747
689.01371266712988,747
689.02399471639831,744
689.034276483803,743
689.04455796931961,743
689.0548391729244,757
689.06512009459323,757
689.075400734302,759
689.0856810920269,757
689.09596116774355,759
689.10624096142817,758
689.11652047305677,758
689.126799702605,758
689.13707865004938,761
689.1473573153653,761
689.15763569852913,755
689.16791379951655,755
689.1781916183038,752
689.18846915486688,762
689.19874640918158,753
689.20902338122414,759
689.21930007097023,753
689.2295764783961,739
689.23985260347774,739
689.25012844619073,757
